city_id,name_chinese,name_english,latitude,longitude,cluster_id
001,北京,BeiJing,39.904210,116.407394,1
004,深圳,ShenZhen,22.543099,114.057868,2
006,天津,TianJin,39.084158,117.200982,1
009,广州,GuangZhou,23.129110,113.264385,2
010,香港,XiangGang,22.396428,114.109497,2
011,石家庄,ShiJiaZhuang,38.042307,114.514860,1
012,辛集,XinJi,37.943123,115.218020,1
013,唐山,TangShan,39.630867,118.180194,1
014,秦皇岛,QinHuangDao,39.935384,119.600493,1
017,保定,BaoDing,38.873891,115.464806,1
018,定州,DingZhou,38.516173,114.990159,1
019,张家口,ZhangJiaKou,40.767544,114.886335,1
020,承德市,ChengDe,40.952942,117.962750,1
021,沧州,CangZhou,38.304476,116.838835,1
022,廊坊,LangFang,39.538046,116.683752,1
023,衡水,HengShui,37.738920,115.670177,1
024,潮州,ChaoZhou,23.656949,116.622604,2
025,东莞,DongGuan,23.020536,113.751765,2
026,佛山,FoShan,23.021478,113.121436,2
027,河源,HeYuan,23.743686,114.700961,2
028,惠州,HuiZhou,23.111847,114.416196,2
029,江门,JiangMen,22.578738,113.081901,2
030,揭阳,JieYang,23.549993,116.372831,2
031,茂名,MaoMing,21.662998,110.925456,2
032,梅州,MeiZhou,24.288615,116.122238,2
033,清远,QingYuan,23.681764,113.056031,2
034,汕头,ShanTou,23.354091,116.681972,2
035,汕尾,ShanWei,22.786211,115.375279,2
036,韶关,ShaoGuan,24.810403,113.597522,2
037,阳江,YangJiang,21.857958,111.982232,2
038,云浮,YunFu,22.915094,112.044490,2
040,肇庆,ZhaoQing,23.047191,112.465091,2
041,中山,ZhongShan,22.516998,113.392725,2
042,珠海,ZhuHai,22.270714,113.576725,2
128,大同,DaTong,40.076763,113.300129,1
149,济南,JiNan,36.651215,117.120000,1
151,淄博,ZiBo,36.813487,118.054927,1
152,德州,DeZhou,37.434092,116.357465,1
159,滨州,BinZhou,37.381990,117.970703,1
160,东营,DongYing,37.434750,118.674767,1
311,郴州,ChenZhou,25.770510,113.014718,2
371,梧州,WuZhou,23.476963,111.279115,2
372,贺州,HeZhou,24.403582,111.566694,2
