district_id,name_chinese,name_english,city_id
00101,海淀区,HaiDianQu,001
00102,石景山区,ShiJingShanQu,001
00103,丰台区,FengTaiQu,001
00104,房山区,FangShanQu,001
00105,朝阳区,ChaoYangQu,001
00106,西城区,XiChengQu,001
00107,东城区,DongChengQu,001
00108,大兴区,DaXingQu,001
00109,通州区,TongZhouQu,001
00110,顺义区,ShunYiQu,001
00111,昌平区,ChangPingQu,001
00112,门头沟区,MenTouGouQu,001
00113,平谷区,PingGuQu,001
00114,怀柔区,HuaiRouQu,001
00115,密云县,MiYunXian,001
00116,延庆县,YanQingXian,001
00401,宝安区,BaoAnQu,004
00402,南山区,NanShanQu,004
00403,龙岗区,LongGangQu,004
00404,盐田区,YanTianQu,004
00405,罗湖区,LuoHuQu,004
00406,福田区,FuTianQu,004
00407,南华区,NanHuaQu,004
00408,龙华新区,LongHuaXinQu,004
00601,北辰区,BeiChenQu,006
00602,西青区,XiQingQu,006
00603,南开区,NanKaiQu,006
00604,河东区,HeDongQu,006
00605,和平区,HePingQu,006
00606,红桥区,HongQiaoQu,006
00607,河西区,HeXiQu,006
00608,河北区,HeBeiQu,006
00609,滨海新区,BinHaiXinQu,006
00610,东丽区,DongLiQu,006
00611,蓟县,JiXian,006
00612,宝坻区,BaoQu,006
00613,宁河县,NingHeXian,006
00614,静海县,JingHaiXian,006
00615,塘沽区,TangGuQu,006
00616,武清,WuQing,006
00617,汉沽,HanGu,006
00618,津南,JinNan,006
00619,大港,DaGang,006
00620,渤海A平台,BoHaiAPingTai,006
00901,越秀区,YueXiuQu,009
00902,荔湾区,LiWanQu,009
00903,天河区,TianHeQu,009
00904,海珠区,HaiZhuQu,009
00905,黄埔区,HuangPuQu,009
00906,番禺区,FanQu,009
00907,花都区,HuaDuQu,009
00908,萝岗区,LuoGangQu,009
00909,从化市,CongHuaShi,009
00910,南沙区,NanShaQu,009
00911,增城,ZengCheng,009
00912,白云区,BaiYunQu,009
01001,中西区,ZhongXiQu,010
01002,东区,DongQu,010
01003,湾仔区,WanZiQu,010
01004,观塘区,GuanTangQu,010
01005,深水埗区,ShenShuiQu,010
01006,油尖旺区,YouJianWangQu,010
01007,葵青区,KuiQingQu,010
01008,沙田区,ShaTianQu,010
01009,大浦区,DaPuQu,010
01010,荃湾区,WanQu,010
01011,离岛区,LiDaoQu,010
01012,元朗区,YuanLangQu,010
01013,九龙,JiuLong,010
01014,新界,XinJie,010
01015,屯门区,TunMenQu,010
01101,裕华区,YuHuaQu,011
01102,桥西区,QiaoXiQu,011
01103,长安区,ChangAnQu,011
01104,新华区,XinHuaQu,011
01105,桥东区,QiaoDongQu,011
01106,鹿泉市,LuQuanShi,011
01107,正定县,ZhengDingXian,011
01108,栾城县,ChengXian,011
01109,藁城市,ChengShi,011
01110,晋州市,JinZhouShi,011
01111,新乐市,XinLeShi,011
01112,无极县,WuJiXian,011
01113,深泽县,ShenZeXian,011
01114,赵县,ZhaoXian,011
01115,高邑县,GaoYiXian,011
01116,元氏县,YuanShiXian,011
01117,赞皇县,ZanHuangXian,011
01118,井陉县,JingXian,011
01119,平山县,PingShanXian,011
01120,灵寿县,LingShouXian,011
01121,行唐县,XingTangXian,011
01122,辛集,XinJi,011
01201,辛集市,XinJiShi,012
01301,路北区,LuBeiQu,013
01302,开平区,KaiPingQu,013
01303,路南区,LuNanQu,013
01304,古冶区,GuYeQu,013
01305,丰南区,FengNanQu,013
01306,丰润区,FengRunQu,013
01307,迁西县,QianXiXian,013
01308,曹妃甸区,CaoDianQu,013
01309,遵化市,ZunHuaShi,013
01310,迁安市,QianAnShi,013
01311,滦县,LuanXian,013
01312,滦南,LuanNan,013
01313,乐亭,LeTing,013
01314,玉田,YuTian,013
01315,唐海,TangHai,013
01401,海港区,HaiGangQu,014
01402,北戴河区,BeiDaiHeQu,014
01403,山海关区,ShanHaiGuanQu,014
01404,青龙满族自治县,QingLongManZuZiZhiXian,014
01405,昌黎县,ChangLiXian,014
01406,抚宁县,FuNingXian,014
01407,卢龙,LuLong,014
01701,北市区,BeiShiQu,017
01702,南市区,NanShiQu,017
01703,新市区,XinShiQu,017
01704,满城县,ManChengXian,017
01705,清菀县,QingXian,017
